medcodeid,observations,term,eth16,eth5
1063981000000117,6000000,white british - ethnic category 2001 census,1. British,0. White
1064041000000111,70000,white irish - ethnic category 2001 census,2. Irish,0. White
1158301000000115,4000,bulgarian,3. Other White,0. White
1160331000000119,1000,czech,3. Other White,0. White
136081000000111,80000,sri lankan - ethnic category 2001 census,11. Other Asian,1. South Asian
138171000000114,2000,irish traveller - ethnic category 2001 census,3. Other White,0. White
138181000000111,4000,traveller - ethnic category 2001 census,3. Other White,0. White
138191000000113,20000,gypsy/romany - ethnic category 2001 census,3. Other White,0. White
138201000000110,200000,polish - ethnic category 2001 census,3. Other White,0. White
138231000000116,20000,albanian - ethnic category 2001 census,3. Other White,0. White
138241000000113,30000,jewish - ethnic category 2001 census,16. Other ethnic group,3. Other
138251000000111,60000,arab - ethnic category 2001 census,16. Other ethnic group,3. Other
138261000000114,30000,iranian - ethnic category 2001 census,16. Other ethnic group,3. Other
138271000000119,30000,south and central american - ethnic category 2001 census,16. Other ethnic group,3. Other
138281000000117,10000,muslim - ethnic category 2001 census,16. Other ethnic group,3. Other
141291000000111,400000,ethnic category - 2001 census,17. Not Stated,5. Not Stated
141301000000110,300000,irish - ethnic category 2001 census,2. Irish,0. White
141311000000112,3000000,other white background - ethnic category 2001 census,3. Other White,0. White
141321000000118,200000,white and black caribbean - ethnic category 2001 census,4. White and Black Caribbean,4. Mixed
141331000000116,200000,white and black african - ethnic category 2001 census,5. White and Black African,4. Mixed
141341000000113,200000,white and asian - ethnic category 2001 census,6. White and Asian,4. Mixed
141351000000111,300000,other mixed background - ethnic category 2001 census,7. Other Mixed,4. Mixed
141361000000114,800000,pakistani or british pakistani - ethnic category 2001 census,9. Pakistani,1. South Asian
141381000000117,700000,other asian background - ethnic category 2001 census,11. Other Asian,1. South Asian
141391000000115,1000000,african - ethnic category 2001 census,13. African,2. Black
141401000000117,500000,chinese - ethnic category 2001 census,15. Chinese,3. Other
141411000000115,500000,other - ethnic category 2001 census,16. Other ethnic group,3. Other
141421000000114,1000000,ethnic category not stated - 2001 census,17. Not Stated,5. Not Stated
141431000000111,20000,scottish - ethnic category 2001 census,1. British,0. White
141441000000119,10000,welsh - ethnic category 2001 census,1. British,0. White
141451000000116,20000,northern irish - ethnic category 2001 census,1. British,0. White
141461000000118,5000,cornish - ethnic category 2001 census,1. British,0. White
141471000000113,5000,black and asian - ethnic category 2001 census,7. Other Mixed,4. Mixed
141481000000110,700,black and chinese - ethnic category 2001 census,7. Other Mixed,4. Mixed
141491000000112,7000,chinese and white - ethnic category 2001 census,7. Other Mixed,4. Mixed
141511000000116,10000,mixed asian - ethnic category 2001 census,11. Other Asian,1. South Asian
141521000000110,6000,punjabi - ethnic category 2001 census,11. Other Asian,1. South Asian
141531000000112,1000,kashmiri - ethnic category 2001 census,11. Other Asian,1. South Asian
141541000000115,7000,east african asian - ethnic category 2001 census,11. Other Asian,1. South Asian
141551000000117,9000,tamil - ethnic category 2001 census,11. Other Asian,1. South Asian
141561000000119,60000,british asian - ethnic category 2001 census,11. Other Asian,1. South Asian
141571000000114,3000,caribbean asian - ethnic category 2001 census,11. Other Asian,1. South Asian
141591000000113,80000,somali - ethnic category 2001 census,14. Other Black,2. Black
141601000000119,30000,nigerian - ethnic category 2001 census,14. Other Black,2. Black
141621000000111,20000,vietnamese - ethnic category 2001 census,16. Other ethnic group,3. Other
141631000000113,10000,japanese - ethnic category 2001 census,16. Other ethnic group,3. Other
141641000000116,30000,filipino - ethnic category 2001 census,16. Other ethnic group,3. Other
141651000000118,6000,malaysian - ethnic category 2001 census,16. Other ethnic group,3. Other
141661000000115,4000,cypriot (part not stated) - ethnic category 2001 census,3. Other White,0. White
142691000000116,100,ulster scots - ethnic category 2001 census,1. British,0. White
142701000000116,20000,greek - ethnic category 2001 census,3. Other White,0. White
142711000000119,10000,greek cypriot - ethnic category 2001 census,3. Other White,0. White
142721000000113,10000,turkish cypriot - ethnic category 2001 census,3. Other White,0. White
142741000000118,7000,kosovan - ethnic category 2001 census,3. Other White,0. White
142751000000115,1000,bosnian - ethnic category 2001 census,3. Other White,0. White
142761000000117,2000,croatian - ethnic category 2001 census,3. Other White,0. White
142781000000114,4000,mixed irish and other white - ethnic category 2001 census,3. Other White,0. White
142791000000111,30000,other mixed white - ethnic category 2001 census,3. Other White,0. White
142811000000112,10000,north african - ethnic category 2001 census,16. Other ethnic group,3. Other
142831000000116,2000,israeli - ethnic category 2001 census,16. Other ethnic group,3. Other
142841000000113,20000,kurdish - ethnic category 2001 census,16. Other ethnic group,3. Other
142851000000111,6000,moroccan - ethnic category 2001 census,16. Other ethnic group,3. Other
142861000000114,20000,latin american - ethnic category 2001 census,16. Other ethnic group,3. Other
